Time,CH1_noise,CH2_noise
-4.448000000000002e-06,0.006,-0.020800000000000003
-4.444e-06,0.006,-0.020800000000000003
-4.439999999999998e-06,0.006,-0.020800000000000003
-4.436000000000003e-06,0.006,-0.0204
-4.432000000000001e-06,0.0064,-0.020800000000000003
-4.427999999999999e-06,0.0068000000000000005,-0.020800000000000003
-4.424000000000004e-06,0.0068000000000000005,-0.0216
-4.420000000000002e-06,0.0068000000000000005,-0.0212
-4.416e-06,0.007200000000000001,-0.020800000000000003
-4.411999999999998e-06,0.0068000000000000005,-0.020800000000000003
-4.4080000000000025e-06,0.0064,-0.020800000000000003
-4.4040000000000005e-06,0.006,-0.020800000000000003
-4.3999999999999985e-06,0.0056,-0.020800000000000003
-4.396000000000003e-06,0.007200000000000001,-0.0216
-4.392000000000001e-06,0.0088,-0.0212
-4.387999999999999e-06,0.01,-0.0216
-4.384000000000004e-06,0.0108,-0.0212
-4.380000000000002e-06,0.0128,-0.020800000000000003
-4.376e-06,0.013600000000000001,-0.0204
-4.371999999999998e-06,0.012,-0.0204
-4.368000000000003e-06,0.009600000000000001,-0.02
-4.364000000000001e-06,0.0076,-0.02
-4.359999999999999e-06,0.006,-0.0204
-4.356000000000004e-06,0.0032,-0.0212
-4.352000000000002e-06,0.0016,-0.0212
-4.348e-06,0.0012000000000000001,-0.0216
-4.343999999999998e-06,0.0024000000000000002,-0.0216
-4.3400000000000025e-06,0.0032,-0.0212
-4.3360000000000005e-06,0.004,-0.020800000000000003
-4.3319999999999985e-06,0.005200000000000001,-0.020800000000000003
-4.328000000000003e-06,0.0064,-0.0216
-4.324000000000001e-06,0.007200000000000001,-0.0212
-4.319999999999999e-06,0.0068000000000000005,-0.0212
-4.316000000000004e-06,0.0068000000000000005,-0.0212
-4.312000000000002e-06,0.007200000000000001,-0.0212
-4.308e-06,0.008,-0.0212
-4.303999999999998e-06,0.008,-0.0204
-4.300000000000003e-06,0.007200000000000001,-0.020800000000000003
-4.296000000000001e-06,0.0068000000000000005,-0.0204
-4.291999999999999e-06,0.006,-0.02
-4.288000000000004e-06,0.0056,-0.02
-4.284000000000002e-06,0.0044,-0.02
-4.28e-06,0.004,-0.02
-4.275999999999998e-06,0.004,-0.02
-4.2720000000000025e-06,0.0048000000000000004,-0.02
-4.2680000000000005e-06,0.005200000000000001,-0.019200000000000002
-4.2639999999999985e-06,0.0048000000000000004,-0.0196
-4.260000000000003e-06,0.0044,-0.0196
-4.256000000000001e-06,0.0028,-0.02
-4.251999999999999e-06,0.0012000000000000001,-0.02
-4.248000000000004e-06,-0.0004,-0.02
-4.244000000000002e-06,-0.0004,-0.02
-4.24e-06,0.0,-0.0204
-4.235999999999998e-06,0.0012000000000000001,-0.0196
-4.232000000000003e-06,0.0036000000000000003,-0.019200000000000002
-4.228000000000001e-06,0.006,-0.019200000000000002
-4.223999999999999e-06,0.008,-0.0196
-4.220000000000004e-06,0.0088,-0.019200000000000002
-4.216000000000002e-06,0.009600000000000001,-0.0188
-4.212e-06,0.009600000000000001,-0.0184
-4.207999999999998e-06,0.0088,-0.018000000000000002
-4.2040000000000024e-06,0.0076,-0.0176
-4.2000000000000004e-06,0.0064,-0.0172
-4.1959999999999985e-06,0.0056,-0.0176
-4.192000000000003e-06,0.0056,-0.0176
-4.188000000000001e-06,0.0048000000000000004,-0.018000000000000002
-4.183999999999999e-06,0.004,-0.018000000000000002
-4.180000000000004e-06,0.0044,-0.018000000000000002
-4.176000000000002e-06,0.005200000000000001,-0.0184
-4.172e-06,0.005200000000000001,-0.0176
-4.167999999999998e-06,0.0048000000000000004,-0.0176
-4.164000000000003e-06,0.0056,-0.0176
-4.160000000000001e-06,0.006,-0.018000000000000002
-4.155999999999999e-06,0.0068000000000000005,-0.0176
-4.152000000000004e-06,0.007200000000000001,-0.016800000000000002
-4.148000000000002e-06,0.007200000000000001,-0.016
-4.144e-06,0.007200000000000001,-0.015600000000000001
-4.140000000000004e-06,0.0068000000000000005,-0.0152
-4.136000000000002e-06,0.006,-0.0152
-4.132e-06,0.005200000000000001,-0.015600000000000001
-4.1279999999999984e-06,0.006,-0.015600000000000001
-4.124000000000003e-06,0.006,-0.015600000000000001
-4.120000000000001e-06,0.0056,-0.016
-4.115999999999999e-06,0.005200000000000001,-0.016
-4.112000000000004e-06,0.0056,-0.016
-4.108000000000002e-06,0.0056,-0.0164
-4.104e-06,0.0056,-0.016
-4.099999999999998e-06,0.0056,-0.0164
-4.096000000000003e-06,0.0064,-0.016
-4.092000000000001e-06,0.0064,-0.016
-4.087999999999999e-06,0.006,-0.016
-4.084000000000004e-06,0.0064,-0.015600000000000001
-4.080000000000002e-06,0.0064,-0.0152
-4.076e-06,0.0064,-0.0152
-4.072000000000004e-06,0.006,-0.0148
-4.068000000000002e-06,0.0056,-0.0152
-4.064e-06,0.0056,-0.0152
-4.059999999999998e-06,0.0064,-0.0152
-4.056000000000003e-06,0.006,-0.0152
-4.052000000000001e-06,0.005200000000000001,-0.0148
-4.047999999999999e-06,0.0048000000000000004,-0.0152
-4.044000000000004e-06,0.0044,-0.016
-4.040000000000002e-06,0.0048000000000000004,-0.016
-4.036e-06,0.0044,-0.016
-4.031999999999998e-06,0.004,-0.015600000000000001
-4.028000000000003e-06,0.004,-0.0152
-4.024000000000001e-06,0.0036000000000000003,-0.0148
-4.019999999999999e-06,0.0024000000000000002,-0.0152
-4.0160000000000036e-06,0.0016,-0.0152
-4.0120000000000016e-06,0.0016,-0.0152
-4.0079999999999996e-06,0.002,-0.0148
-4.004000000000004e-06,0.0024000000000000002,-0.014400000000000001
-4.000000000000002e-06,0.0032,-0.014400000000000001
-3.996e-06,0.0048000000000000004,-0.0152
-3.991999999999998e-06,0.0064,-0.015600000000000001
-3.988000000000003e-06,0.0076,-0.016
-3.984000000000001e-06,0.008,-0.0164
-3.979999999999999e-06,0.008400000000000001,-0.0164
-3.976000000000004e-06,0.008,-0.016800000000000002
-3.972000000000002e-06,0.0068000000000000005,-0.0164
-3.968e-06,0.0056,-0.016
-3.963999999999998e-06,0.0056,-0.016
-3.960000000000003e-06,0.0056,-0.015600000000000001
-3.956000000000001e-06,0.005200000000000001,-0.016
-3.951999999999999e-06,0.005200000000000001,-0.016
-3.9480000000000035e-06,0.0048000000000000004,-0.016800000000000002
-3.9440000000000015e-06,0.0048000000000000004,-0.016800000000000002
-3.9399999999999995e-06,0.004,-0.016800000000000002
-3.936000000000004e-06,0.0044,-0.016
-3.932000000000002e-06,0.0044,-0.015600000000000001
-3.928e-06,0.006,-0.015600000000000001
-3.923999999999998e-06,0.008,-0.0148
-3.920000000000003e-06,0.009600000000000001,-0.0152
-3.916000000000001e-06,0.0108,-0.015600000000000001
-3.911999999999999e-06,0.0108,-0.0164
-3.908000000000004e-06,0.0108,-0.016800000000000002
